Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
0.0,Chrimata,Tick,0,0,0,0,,,0,0,0,OK
0.0,Chrimata4,Tick,0,0,0,0,,,0,0,0,OK
0.297,Chrimata,Tick,0,0,0,0,,,0,0,0,OK
0.297,Chrimata4,Tick,0,0,0,0,,,0,0,0,OK
0.485,Chrimata,Tick,0,0,0,0,,,0,0,0,OK
0.485,Chrimata4,Tick,0,0,0,0,,,0,0,0,OK
0.719,Chrimata,Tick,0,0,0,0,,,0,0,0,OK
0.719,Chrimata4,Tick,0,0,0,0,,,0,0,0,OK
0.954,Chrimata,Tick,0,0,0,0,147600,,0,0,0,OK
0.954,Chrimata4,Tick,0,0,0,0,147600,,0,0,0,OK
1.297,Chrimata,Tick,0,0,0,0,147600,147100,0,0,0,OK
1.297,Chrimata4,Tick,0,0,0,0,147600,147100,0,0,0,OK
1.516,Chrimata,Tick,0,0,0,0,147600,147100,0,0,0,OK
1.516,Chrimata4,Tick,0,0,0,0,147600,147100,0,0,0,OK
1.782,Chrimata,Tick,0,0,0,0,147600,147100,0,0,0,OK
1.782,Chrimata4,Tick,0,0,0,0,147600,147100,0,0,0,OK
1.954,Chrimata,Tick,0,0,0,0,147600,147100,0,0,0,OK
1.954,Chrimata4,Tick,0,0,0,0,147600,147100,0,0,0,OK
2.25,Chrimata,Tick,0,0,0,0,147600,146900,0,0,0,OK
2.25,Chrimata4,Tick,0,0,0,0,147600,146900,0,0,0,OK
2.516,Chrimata,Tick,0,0,0,0,147600,146900,0,0,0,OK
2.516,Chrimata4,Tick,0,0,0,0,147600,146900,0,0,0,OK
2.704,Chrimata,Tick,0,0,0,0,146400,146900,0,0,0,OK
2.704,Chrimata4,Tick,0,0,0,0,146400,146900,0,0,0,OK
3.016,Chrimata,Tick,0,0,0,0,146400,146900,0,0,0,OK
3.016,Chrimata4,Tick,0,0,0,0,146400,146900,0,0,0,OK
3.25,Chrimata,Tick,0,0,0,0,146400,146900,0,0,0,OK
3.25,Chrimata4,Tick,0,0,0,0,146400,146900,0,0,0,OK
3.469,Chrimata,Tick,0,0,0,0,147500,146900,0,0,0,OK
3.469,Chrimata4,Tick,0,0,0,0,147500,146900,0,0,0,OK
3.766,Chrimata,Tick,0,0,0,0,146300,146900,0,0,0,OK
3.766,Chrimata4,Tick,0,0,0,0,146300,146900,0,0,0,OK
