Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
4e-06,PLTRN_807684,Tick,0,0,0,0,,,0,0,0,OK
4e-06,Chrimata_171201,Tick,0,0,0,0,,,0,0,0,OK
4e-06,RegMonks_30506,Tick,0,0,0,0,,,0,0,0,OK
4e-06,idontknowateamname_12343,Tick,0,0,0,0,,,0,0,0,OK
4e-06,OIC_104,Tick,0,0,0,0,,,0,0,0,OK
4e-06,TonyStarb_893475,Tick,0,0,0,0,,,0,0,0,OK
4e-06,TUB_Part2_110011,Tick,0,0,0,0,,,0,0,0,OK
4e-06,weridebikes_50323,Tick,0,0,0,0,,,0,0,0,OK
0.23084,PLTRN_807684,Tick,0,0,0,0,126500,,0,0,0,OK
0.23084,Chrimata_171201,Tick,0,0,0,0,126500,,0,0,0,OK
0.23084,RegMonks_30506,Tick,0,0,0,0,126500,,0,0,0,OK
0.23084,idontknowateamname_12343,Tick,0,0,0,0,126500,,0,0,0,OK
0.23084,OIC_104,Tick,0,1,-1,1,126500,,-13,13,13,OK
0.23084,TonyStarb_893475,Tick,0,0,0,0,126500,,0,0,0,OK
0.23084,TUB_Part2_110011,Tick,0,0,0,0,126500,,0,0,0,OK
0.23084,weridebikes_50323,Tick,0,0,0,0,126500,,0,0,0,OK
0.478167,PLTRN_807684,Tick,0,0,0,0,126500,,0,0,0,OK
0.478167,Chrimata_171201,Tick,0,0,0,0,126500,,0,0,0,OK
0.478167,RegMonks_30506,Tick,0,0,0,0,126500,,0,0,0,OK
0.478167,idontknowateamname_12343,Tick,0,0,0,0,126500,,0,0,0,OK
0.478167,OIC_104,Tick,0,1,-1,1,126500,,-13,13,13,OK
0.478167,TonyStarb_893475,Tick,0,0,0,0,126500,,0,0,0,OK
0.478167,TUB_Part2_110011,Tick,0,0,0,0,126500,,0,0,0,OK
0.478167,weridebikes_50323,Tick,0,0,0,0,126500,,0,0,0,OK
0.711289,PLTRN_807684,Tick,0,0,0,0,126600,,0,0,0,OK
0.711289,Chrimata_171201,Tick,0,0,0,0,126600,,0,0,0,OK
0.711289,RegMonks_30506,Tick,0,10,-10,10,126600,,253,747,747,OK
0.711289,idontknowateamname_12343,Tick,0,10,-10,10,126600,,253,747,747,OK
0.711289,OIC_104,Tick,0,1,-1,1,126600,,-13,13,13,OK
0.711289,TonyStarb_893475,Tick,0,0,0,0,126600,,0,0,0,OK
0.711289,TUB_Part2_110011,Tick,0,0,0,0,126600,,0,0,0,OK
