Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
4e-06,NeilShah1_81703,Tick,0,0,0,0,,,0,0,0,OK
4e-06,TheStockOverflowers_135792,Tick,0,0,0,0,,,0,0,0,OK
4e-06,NotSoSharpe_420,Tick,0,0,0,0,,,0,0,0,OK
4e-06,Pythoneers_1,Tick,0,0,0,0,,,0,0,0,OK
4e-06,dup3dupca_1,Tick,0,0,0,0,,,0,0,0,OK
4e-06,Chrimata_171201,Tick,0,0,0,0,,,0,0,0,OK
4e-06,BristolZITraders_2223,Tick,0,0,0,0,,,0,0,0,OK
4e-06,TradininMilano_152420,Tick,0,0,0,0,,,0,0,0,OK
0.265972,NeilShah1_81703,Tick,0,0,0,0,,,0,0,0,OK
0.265972,TheStockOverflowers_135792,Tick,0,0,0,0,,,0,0,0,OK
0.265972,NotSoSharpe_420,Tick,0,0,0,0,,,0,0,0,OK
0.265972,Pythoneers_1,Tick,0,0,0,0,,,0,0,0,OK
0.265972,dup3dupca_1,Tick,0,0,0,0,,,0,0,0,OK
0.265972,Chrimata_171201,Tick,0,0,0,0,,,0,0,0,OK
0.265972,BristolZITraders_2223,Tick,0,0,0,0,,,0,0,0,OK
0.265972,TradininMilano_152420,Tick,0,0,0,0,,,0,0,0,OK
0.526143,NeilShah1_81703,Tick,0,0,0,0,,,0,0,0,OK
0.526143,TheStockOverflowers_135792,Tick,0,0,0,0,,,0,0,0,OK
0.526143,NotSoSharpe_420,Tick,0,0,0,0,,,0,0,0,OK
0.526143,Pythoneers_1,Tick,0,0,0,0,,,0,0,0,OK
0.526143,dup3dupca_1,Tick,0,0,0,0,,,0,0,0,OK
0.526143,Chrimata_171201,Tick,0,0,0,0,,,0,0,0,OK
0.526143,BristolZITraders_2223,Tick,0,0,0,0,,,0,0,0,OK
0.526143,TradininMilano_152420,Tick,0,0,0,0,,,0,0,0,OK
0.720289,NeilShah1_81703,Tick,0,0,0,0,,,0,0,0,OK
0.720289,TheStockOverflowers_135792,Tick,0,0,0,0,,,0,0,0,OK
0.720289,NotSoSharpe_420,Tick,0,0,0,0,,,0,0,0,OK
0.720289,Pythoneers_1,Tick,0,0,0,0,,,0,0,0,OK
0.720289,dup3dupca_1,Tick,0,0,0,0,,,0,0,0,OK
0.720289,Chrimata_171201,Tick,0,0,0,0,,,0,0,0,OK
0.720289,BristolZITraders_2223,Tick,0,0,0,0,,,0,0,0,OK
0.720289,TradininMilano_152420,Tick,0,0,0,0,,,0,0,0,OK
0.988228,NeilShah1_81703,Tick,0,0,0,0,,140400,0,0,0,OK
0.988228,TheStockOverflowers_135792,Tick,0,0,0,0,,140400,0,0,0,OK
0.988228,NotSoSharpe_420,Tick,0,0,0,0,,140400,0,0,0,OK
0.988228,Pythoneers_1,Tick,0,0,0,0,,140400,0,0,0,OK
0.988228,dup3dupca_1,Tick,0,0,0,0,,140400,0,0,0,OK
0.988228,Chrimata_171201,Tick,0,0,0,0,,140400,0,0,0,OK
0.988228,BristolZITraders_2223,Tick,0,0,0,0,,140400,0,0,0,OK
0.988228,TradininMilano_152420,Tick,0,0,0,0,,140400,0,0,0,OK
1.253533,NeilShah1_81703,Tick,0,0,0,0,,140400,0,0,0,OK
1.253533,TheStockOverflowers_135792,Tick,0,0,0,0,,140400,0,0,0,OK
1.253533,NotSoSharpe_420,Tick,0,0,0,0,,140400,0,0,0,OK
